#
# GNSS PRN/NORAD-ID list
#

# GPS
G01  37753U
G02  28474U
G03  40294U
G04  43873U
G05  35752U
G06  39741U
G07  32711U
G08  40730U
G09  40105U
G10  41019U
G12  29601U
G13  24876U
G14  46826U
G15  32260U
G16  27663U
G17  28874U
G18  44506U
G19  28190U
G20  26360U
G21  27704U
G22  28129U
G23  45854U
G24  38833U
G25  36585U
G26  40534U
G27  39166U
G28  26407U
G29  32384U
G30  39533U
G31  29486U
G32  41328U

# QZSS
J01  37158U Q1
J02  42738U Q2
J07  42917U Q3
J03  42965U Q4


# GALILEO
E01  41550U
E02  41549U
E03  41860U
E04  41861U
E05  41862U
E07  41859U
E08  41175U
E09  41174U
E11  37846U
E12  37847U
E13  43567U
#E14  40129U
E15  43564U
#E18  40128U
E19  38857U
E21  43055U
E24  40889U
E25  43056U
E26  40544U
E27  43057U
E30  40890U
E31  43058U
E33  43565U
E36  43566U

