#
# GNSS PRN/NORAD-ID list
#

# GPS
G01  37753U BIIF-2
G02  28474U BIIR-13
G03  40294U BIIF-8
G04  43873U BIII-1
G05  35752U BIIRM-8
G06  39741U BIIF-6
G07  32711U BIIRM-6
G08  40730U BIIF-10
G09  40105U BIIF-7
G10  41019U BIIF-11
G11  48859U BIII-5
G12  29601U BIIRM-3
G13  24876U BIIR-2
G14  46826U BIII-4
G15  32260U BIIRM-4
G16  27663U BIIR-8
G17  28874U BIIRM-1
G18  44506U BIII-2
G19  28190U BIIR-11
G20  26360U BIIR-4
G21  27704U BIIR-9
G22  28129U BIIR-10
G23  45854U BIII-3
G24  38833U BIIF-3
G25  36585U BIIF-1
G26  40534U BIIF-9
G27  39166U BIIF-4
G28  26407U BIIR-5
G29  32384U BIIRM-5
G30  39533U BIIF-5
G31  29486U BIIRM-2
G32  41328U BIIF-12

# QZSS
J01  37158U Q1
J02  42738U Q2
J07  42917U Q3
J03  42965U Q4

# GLONASS
R01  36111U 730
R02  39155U 747
R03  37867U 744
R04  44850U 759
R05  43508U 756
R06  36112U 733
R07  37868U 745
R08  37869U 743
R09  40315U 702
R10  32395U 723
R11  41554U 753
R12  44299U 758
R13  32393U 721
R14  42939U 752
R15  43687U 757
R16  37139U 736
R17  41330U 751
R18  39620U 754
R19  32275U 720
R20  32276U 719
R21  40001U 755
R22  36401U 735
R23  36402U 732
R24  45358U 760

# GALILEO
E01  41550U GSAT0210
E02  41549U GSAT0211
E03  41860U GSAT0212
E04  41861U GSAT0213
E05  41862U GSAT0214
E07  41859U GSAT0207
E08  41175U GSAT0208
E09  41174U GSAT0209
E11  37846U GSAT0101
E12  37847U GSAT0102
E13  43567U GSAT0220
#E14  40129U GSAT0202
E15  43564U GSAT0221
#E18  40128U GSAT0201
E19  38857U GSAT0103
#E20  38858U GSAT0104
E21  43055U GSAT0215
#E22  40545U GSAT0204
E24  40889U GSAT0205
E25  43056U GSAT0216
E26  40544U GSAT0203
E27  43057U GSAT0217
E30  40890U GSAT0206
E31  43058U GSAT0218
E33  43565U GSAT0222
E36  43566U GSAT0219

# BEIDOU
C01  44231U BEIDOU-2-G8
C02  38953U BEIDOU-16
C03  41586U BEIDOU-2-G7
C04  37210U BEIDOU-6
C05  38091U BEIDOU-11
C06  36828U BEIDOU-5
C07  37256U BEIDOU-7
C08  37384U BEIDOU-8
C09  37763U BEIDOU-9
#C10  37948U BEIDOU-10
C11  38250U BEIDOU-12
C12  38251U BEIDOU-13
C13  41434U BEIDOU-IGSO-6
C14  38775U BEIDOU-15
C16  43539U BEIDOU-IGSO-7
#C18  40938U BEIDOU-20
C19  43001U BEIDOU-3-M1
C20  43002U BEIDOU-3-M2
C21  43208U BEIDOU-3-M5
C22  43207U BEIDOU-3-M6
C23  43581U BEIDOU-3-M9
C24  43582U BEIDOU-3-M10
C25  43603U BEIDOU-3-M11
C26  43602U BEIDOU-3-M12
C27  43107U BEIDOU-3-M3
C28  43108U BEIDOU-3-M4
C29  43245U BEIDOU-3-M7
C30  43246U BEIDOU-3-M8
#C31  40549U BEIDOU-17
C32  43622U BEIDOU-3-M13
C33  43623U BEIDOU-3-M14
C34  43648U BEIDOU-3-M15
C35  43647U BEIDOU-3-M16
C36  43706U BEIDOU-3-M17
C37  43707U BEIDOU-3-M18
C38  44204U BEIDOU-3-IGSO-1
C39  44337U BEIDOU-3-IGSO-2
C40  44709U BEIDOU-3-IGSO-3
C41  44864U BEIDOU-3-M19
C42  44865U BEIDOU-3-M20 
C43  44794U BEIDOU-3-M22
C44  44793U BEIDOU-3-M21 
C45  44543U BEIDOU-3-M23
C46  44542U BEIDOU-3-M24
#C57  40748U BEIDOU-18
#C58  40749U BEIDOU-19
C59  43683U BEIDOU-3-G1
C60  45344U BEIDOU-3-G2
#C61  45807U BEIDOU-3-G3

# NavIC/IRNSS
I02  39635U IRNSS-1B
I03  40269U IRNSS-1C
I04  40547U IRNSS-1D
I05  41241U IRNSS-1E
I06  41384U IRNSS-1F
I07  41469U IRNSS-1G
I09  43286U IRNSS-1I

# SBAS
#S21 44624U EGNOS
S23  39617U EGNOS
S27  37605U GAGAN
S28  38779U GAGAN
#S30 43683U BDSBAS
S31  41589U WAAS
S35  28884U WAAS
S36  38652U EGNOS
#S37  42917U MSAS
S38  28868U WAAS
S39  41028U GAGAN
#S43 45807U BDSBAS
#S44 45344U BDSBAS

